prepositions;adjectives;adverbs;subConj;modAuxVerbs;coordConj;numbers;other
;obese;searchingly;;;;;
;obnoxious;seemingly;;;;;
;old;selectively;;;;;
;overconfident;selfishly;;;;;
;peaceful;seriously;;;;;
;pink;severely;;;;;
;polite;shakily;;;;;
;poor;sharply;;;;;
;powerful;sheepishly;;;;;
;precious;shrilly;;;;;
;pretty;shyly;;;;;
;proud;silently;;;;;
;quick;sleepily;;;;;
;quiet;slowly;;;;;
;rapid;smoothly;;;;;
;rare;softly;;;;;
;red;solemnly;;;;;
;remarkable;sometimes;;;;;
;responsible;soon;;;;;
;rich;speedily;;;;;
;romantic;spontaneously;;;;;
;royal;stealthily;;;;;
;rude;sternly;;;;;
;scintillating;strategically;;;;;
;secretive;strictly;;;;;
;selfish;stubbornly;;;;;
;serious;stupidly;;;;;
;sharp;subconsciously;;;;;
;shiny;suddenly;;;;;
;shocking;supposedly;;;;;
;short;surprisingly;;;;;
;shy;suspiciously;;;;;
;silly;sweetly;;;;;
;sincere;swiftly;;;;;
;skinny;sympathetically;;;;;
;slim;systematically;;;;;
;slow;tactfully;;;;;
;small;technically;;;;;
;soft;temporarily;;;;;
;spicy;tensely;;;;;
;spiritual;terribly;;;;;
;splendid;thankfully;;;;;
;strong;thoroughly;;;;;
;successful;thoughtfully;;;;;
;sweet;tightly;;;;;
;talented;tomorrow;;;;;
;tall;tonight;;;;;
;tactful;too;;;;;
;tailor-made;tremendously;;;;;
;take-charge;truly;;;;;
;tangible;truthfully;;;;;
;tasteful;typically;;;;;
;tasty;ultimately;;;;;
;teachable;unaccountably;;;;;
;teeming;unbearably;;;;;
;tempean;understandingly;;;;;
;temperate;undoubtedly;;;;;
;tenable;unexpectedly;;;;;
;tenacious;unfortunately;;;;;
;tender;unhappily;;;;;
;tender-hearted;universally;;;;;
;tense;unmistakably;;;;;
;terrible;unquestionably;;;;;
;terrific;unwillingly;;;;;
;testimonial;upbeat;;;;;
;thankful;upright;;;;;
;thankworthy;upward;;;;;
;thick;urgently;;;;;
;thin;usefully;;;;;
;therapeutic;uselessly;;;;;
;thorough;usually;;;;;
;thoughtful;vacantly;;;;;
;tiny;vaguely;;;;;
;tough;vainly;;;;;
;ugly;valiantly;;;;;
;unique;vastly;;;;;
;untidy;verbally;;;;;
;upset;viciously;;;;;
;victorious;victoriously;;;;;
;violent;violently;;;;;
;vulgar;vividly;;;;;
;warm;vocally;;;;;
;weak;voluntarily;;;;;
;wealthy;warmly;;;;;
;wide;wearily;;;;;
;wise;well;;;;;
;witty;wetly;;;;;
;wonderful;wholly;;;;;
;worried;wildly;;;;;
;young;wisely;;;;;
;youthful;wonderfully;;;;;
;zealous;wrongly;;;;;
;;yearly;;;;;
;;youthfully;;;;;
;;zealously;;;;;
